,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
"  * ""농도값*""의 값은 자료 획득률이 50% 이상이나 75% 미만인 도시의 월평균 값임.                              * ""농도값**""의 값은 자료 획득률이 50% 미만인 도시의 월평균 값임.",,,,,,,,,,,,,,,,,
  * 경남 가음정동 측정소 : 측정소 이전으로 인한 시험가동,,,,,,,,,,,,,,,,,
대구,달성군,다사읍,51.78,14,346,348,0.4*,0.2,0.7,2019021620,,,0.3,0.7,201902170108,,
대구,달성군,현풍면,98.66,28,672,663,0.7,0.4,1.3,2019020312,,,0.5,1.2,201902030512,,
대구,수성구,시지동,99.10,28,672,666,0.7,0.3,1.4,2019020314,,,0.6,1.2,201902030815,,
대구,달서구,진천동,98.06,27,661,659,0.6,0.2,1.5,2019020323,,,0.6,1.1,201902031522,,
인천,중구,신흥,98.66,28,666,663,0.7,0.3,2.2,2019022405,,,0.6,1.6,201902060108,,
인천,동구,송림,98.80,28,672,664,0.8,0.4,3.1,2019022404,,,0.6,2.2,201902240108,,
인천,남동구,구월동,98.51,28,664,662,0.9,0.4,2.1,2019022208,,,0.7,1.7,201902240209,,
인천,남구,숭의,98.95,28,672,665,0.6,0.3,1.7,2019022306,,,0.5,1.5,201902230209,,
인천,부평구,부평,98.95,28,666,665,0.7,0.4,1.8,2019020524,,,0.6,1.6,201902240209,,
인천,서구,연희,99.10,28,672,666,0.6,0.3,1.3,2019022310,,,0.5,1.0,201902230310,,
인천,서구,석남,98.66,28,672,663,0.7,0.4,1.5,2019020605,,,0.6,1.3,201902060209,,
인천,계양구,계산,99.10,28,672,666,0.7,0.3,1.3,2019020606,,,0.6,1.1,201902060108,,
인천,남동구,고잔,85.56,24,574,575,1.0,0.4,2.3,2019021912,,,0.9,1.9,201902240108,,
인천,강화군,송해,98.66,28,666,663,0.4,0.1,0.8,2019022810,,,0.3,0.7,201902280310,,
인천,서구,검단,98.95,28,666,665,0.6,0.4,1.5,2019022608,,,0.6,1.1,201902060411,,
인천,연수구,동춘,98.80,28,672,664,0.7,0.3,1.8,2019022401,,,0.6,1.5,201902062205,,
인천,중구,운서,98.51,28,665,662,0.6,0.3,1.6,2019022110,,,0.5,0.9,201902230310,,
인천,남동구,논현,99.10,28,672,666,0.7,0.3,1.8,2019022209,,,0.6,1.4,201902220411,,
인천,서구,원당,98.66,28,666,663,0.6,0.3,1.6,2019022409,,,0.5,1.3,201902240310,,
인천,연수구,송도,98.95,28,666,665,0.7,0.2,1.7,2019022208,,,0.5,1.5,201902220411,,
인천,서구,청라,98.21,28,653,660,0.6,0.3,1.2,2019020607,,,0.5,1.1,201902060209,,
광주,동구,서석동,98.51,28,660,662,0.6,0.3,1.3,2019021912,,,0.6,1.0,201902220512,,
광주,서구,농성동,99.25,28,672,667,0.7,0.3,1.3,2019022824,,,0.6,1.1,201902060108,,
광주,북구,두암동,99.10,28,672,666,0.6,0.3,1.2,2019020309,,,0.5,0.9,201902061902,,
광주,광산구,송정1동,99.10,28,666,666,0.5,0.2,1.2,2019021419,,,0.4,1.1,201902281724,,
광주,광산구,오선동,98.66,28,666,663,0.5,0.2,1.1,2019022820,,,0.3,1.0,201902281623,,
광주,북구,건국동,98.80,28,670,664,0.5,0.2,1.0,2019020401,,,0.5,0.9,201902281724,,
광주,남구,주월동,99.25,28,672,667,0.6,0.3,1.2,2019020212,,,0.5,1.0,201902220209,,
대전,대덕구,읍내동,99.55,28,672,669,0.7,0.2,1.6,2019022107,,,0.6,1.4,201902210108,,
대전,중구,문창동,99.55,28,672,669,0.6,0.2,1.5,2019020301,,,0.4,1.2,201902032306,,
