  3.1.5 측정소별 대기오염도 (2019년 5월),,,,,,,,,,,,,,,,,
     - SO2 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,24시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
부산,기장군,기장읍,221231,99.46,31,740,0.005,0.003,0.029,2019050410,,,0.004,0.010,20190504,,
부산,금정구,부곡동,221251,99.32,31,739,0.004,0.002,0.013,2019050415,,,0.003,0.007,20190504,,
부산,기장군,용수리,221233,96.50,29,718,0.004,0.002,0.020,2019050412,,,0.003,0.007,20190512,,
부산,동구,수정동,221241,95.69,29,712,0.009,0.002,0.077,2019050412,,,0.004,0.028,20190504,,
부산,서구,대신동,221281,99.32,31,739,0.006,0.002,0.036,2019051121,,,0.004,0.011,20190504,,
부산,사상구,덕포동,221282,99.46,31,740,0.006,0.003,0.015,2019050416,,,0.004,0.008,20190505,,
대구,중구,수창동,422114,99.19,31,738,0.003,0.001,0.010,2019050423,,,0.002,0.005,20190504,,
대구,서구,이현동,422132,95.96,29,714,0.003,0.001,0.010,2019052421,,,0.001,0.005,20190524,,
대구,남구,대명동,422141,98.38,31,732,0.003,0.001,0.017,2019050808,,,0.001,0.006,20190508,,
대구,북구,노원동,422153,98.52,31,733,0.003,0.001,0.008,2019051411,,,0.002,0.004,20190505,,
대구,동구,신암동,422154,98.65,31,734,0.003,0.001,0.009,2019050422,,,0.001,0.004,20190504,,
대구,수성구,만촌동,422161,95.69,29,712,0.003,0.001,0.008,2019050422,,,0.001,0.006,20190525,,
대구,수성구,지산동,422115,99.19,31,738,0.003,0.001,0.011,2019051209,,,0.002,0.004,20190504,,
대구,달서구,호림동,422171,95.29,29,709,0.003,0.001,0.011,2019050209,,,0.002,0.004,20190505,,
대구,동구,서호동,422121,99.05,31,737,0.003,0.001,0.011,2019051708,,,0.002,0.004,20190504,,
대구,북구,태전동,422155,95.96,29,714,0.003,0.001,0.008,2019051120,,,0.002,0.004,20190505,,
대구,달성군,다사읍,422205,98.92,31,736,0.003,0.001,0.008,2019051410,,,0.001,0.004,20190505,,
대구,달성군,현풍면,422201,95.02,29,707,0.003,0.001,0.011,2019051210,,,0.001,0.005,20190505,,
대구,수성구,시지동,422203,99.19,31,738,0.003,0.001,0.010,2019051710,,,0.001,0.004,20190504,,
대구,달서구,진천동,422204,99.19,31,738,0.003,0.001,0.012,2019051408,,,0.001,0.004,20190505,,
인천,중구,신흥,823611,98.38,31,732,0.011,0.003,0.054,2019051712,,,0.004,0.021,20190517,,
