,,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,,
서울,중구,중구,111121,99.58,30,720,717,0.4,0.2,1.1,2019062803,,,0.3,0.8,201906060613,,
서울,종로구,종로구,111123,99.44,30,720,716,0.4,0.3,1.1,2019060613,,,0.3,0.9,201906061017,,
서울,중랑구,중랑구,111151,98.88,30,720,712,0.3,0.2,0.7,2019060521,,,0.3,0.6,201906051421,,
서울,동대문구,동대문구,111152,99.16,30,720,714,0.3,0.2,0.7,2019060311,,,0.3,0.6,201906051623,,
서울,은평구,은평구,111181,99.86,30,720,719,0.3,0.1,0.6,2019060311,,,0.2,0.6,201906060916,,
서울,마포구,마포구,111201,99.72,30,720,718,0.3,0.2,0.7,2019060210,,,0.3,0.6,201906060714,,
서울,영등포구,영등포구,111231,99.02,30,720,713,0.3,0.1,1.0,2019060617,,,0.3,0.7,201906061219,,
서울,동작구,동작구,111241,99.44,30,720,716,0.4,0.2,0.7,2019060618,,,0.3,0.6,201906020209,,
서울,관악구,관악구,111251,99.72,30,720,718,0.3,0.1,0.7,2019060618,,,0.2,0.6,201906022306,,
서울,강남구,강남구,111261,98.61,30,706,710,0.3,0.2,0.7,2019060221,,,0.3,0.6,201906060411,,
서울,금천구,금천구,111281,99.44,30,720,716,0.4,0.2,0.7,2019060519,,,0.3,0.7,201906060916,,
서울,강동구,강동구,111274,99.58,30,720,717,0.4,0.2,0.7,2019060517,,,0.3,0.7,201906060613,,
서울,강북구,강북구,111291,99.44,30,720,716,0.4,0.2,0.7,2019060609,,,0.3,0.7,201906060714,,
서울,성북구,성북구,111161,99.02,30,720,713,0.6,0.4,1.4,2019061206,,,0.5,1.1,201906061017,,
서울,용산구,용산구,111131,99.44,30,720,716,0.4,0.2,0.7,2019060516,,,0.3,0.7,201906051522,,
서울,광진구,광진구,111141,99.72,30,720,718,0.6,0.4,0.9,2019060517,,,0.5,0.9,201906060512,,
서울,성동구,성동구,111142,99.58,30,720,717,0.4,0.2,0.8,2019060611,,,0.3,0.7,201906051724,,
서울,도봉구,도봉구,111171,99.44,30,720,716,0.4,0.2,0.8,2019060614,,,0.3,0.7,201906060714,,
