,,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,,
서울,중구,중구,111121,99.46,31,744,740,0.7,0.3,1.8,2019121022,,,0.4,1.5,201912111801,,
서울,종로구,종로구,111123,99.59,31,744,741,0.7,0.3,2.0,2019121020,,,0.5,1.8,201912111801,,
서울,중랑구,중랑구,111151,86.82,26,638,646,0.6,0.3,1.7,2019121024,,,0.5,1.4,201912111902,,
서울,동대문구,동대문구,111152,99.19,31,744,738,0.7,0.3,2.0,2019121101,,,0.5,1.8,201912111902,,
서울,은평구,은평구,111181,73.92,22,548,550,0.6*,0.2,1.1,2019120719,,,0.5,1.0,201912071320,,
서울,마포구,마포구,111201,99.59,31,744,741,0.7,0.3,1.6,2019120720,,,0.5,1.2,201912071522,,
서울,영등포구,영등포구,111231,99.05,31,742,737,0.7,0.2,1.6,2019121016,,,0.5,1.3,201912230714,,
서울,동작구,동작구,111241,99.32,31,744,739,0.6,0.2,1.5,2019121021,,,0.4,1.1,201912091902,,
서울,관악구,관악구,111251,99.46,31,744,740,0.6,0.3,1.6,2019122422,,,0.5,1.3,201912162003,,
서울,강남구,강남구,111261,99.19,31,744,738,0.6,0.3,1.4,2019121021,,,0.5,1.2,201912101724,,
서울,금천구,금천구,111281,99.46,31,744,740,0.6,0.3,1.3,2019121610,,,0.5,1.1,201912160310,,
서울,강동구,강동구,111274,99.32,31,738,739,0.6,0.3,1.3,2019121023,,,0.5,1.2,201912111902,,
서울,강북구,강북구,111291,99.32,31,738,739,0.6,0.3,1.4,2019121002,,,0.4,1.4,201912112205,,
서울,성북구,성북구,111161,99.32,31,744,739,0.8,0.3,1.9,2019121609,,,0.5,1.7,201912111801,,
서울,용산구,용산구,111131,99.46,31,744,740,0.6,0.3,1.4,2019120722,,,0.4,1.2,201912081902,,
서울,광진구,광진구,111141,99.59,31,744,741,0.7,0.4,1.4,2019122523,,,0.5,1.2,201912101623,,
서울,성동구,성동구,111142,99.19,31,736,738,0.6,0.3,1.6,2019121023,,,0.4,1.4,201912111801,,
서울,도봉구,도봉구,111171,99.32,31,744,739,0.7,0.1,1.9,2019121610,,,0.5,1.5,201912111902,,
