지역,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서울,0.00516,0.676,0.676,0.456,0.456,0.388,0.388,0.429166667,0.416,0.456,0.596,0.644
경기,0.004740741,0.617283951,0.617283951,0.441463415,0.441463415,0.407058824,0.392941176,0.434117647,0.421176471,0.44,0.552941176,0.603488372
인천,0.006,0.682352941,0.682352941,0.482352941,0.482352941,0.405882353,0.4,0.423529412,0.472222222,0.478947368,0.626315789,0.67
대구,0.004230769,0.621428571,0.621428571,0.414285714,0.414285714,0.371428571,0.292857143,0.315384615,0.330769231,0.357142857,0.535714286,0.692857143
제주,0.0022,0.4,0.4,0.3,0.3,0.22,0.22,0.26,0.18,0.22,0.28,0.333333333
