,,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,,
대구,수성구,지산동,422115,99.19,31,744,738,0.4,0.2,0.7,2019081806,,,0.3,0.6,201908040108,,
대구,달서구,호림동,422171,95.56,29,715,711,0.4,0.1,0.7,2019081724,,,0.2,0.7,201908182104,,
대구,동구,서호동,422121,97.31,30,727,724,0.3,0.1,0.7,2019081822,,,0.2,0.6,201908190108,,
"  * ""농도값*""의 값은 자료 획득률이 50% 이상이나 75% 미만인 도시의 월평균 값임.                              * ""농도값**""의 값은 자료 획득률이 50% 미만인 도시의 월평균 값임.",,,,,,,,,,,,,,,,,,
  * 서울 중구측정소는 자료확정과정에서 이상자료 처리,,,,,,,,,,,,,,,,,,
  * 대구 진천동측정소는 건물옥상 방수공사로 인한 가동중지,,,,,,,,,,,,,,,,,,
  * 경남 하동읍측정소는 장비교체로 인한 가동중지,,,,,,,,,,,,,,,,,,
대구,북구,태전동,422155,99.05,31,744,737,0.4,0.2,0.7,2019080308,,,0.3,0.7,201908182205,,
대구,달성군,다사읍,422205,99.05,31,744,737,0.3,0.1,0.6,2019080308,,,0.2,0.6,201908182205,,
대구,달성군,현풍면,422201,98.65,31,744,734,0.2,0.1,0.5,2019080811,,,0.2,0.5,201908180108,,
대구,수성구,시지동,422203,98.65,31,744,734,0.4,0.2,0.8,2019080308,,,0.3,0.7,201908030108,,
대구,달서구,진천동,422204,0.00,0,0,0,,,,,,,,,,,
인천,중구,신흥,823611,98.92,31,738,736,0.4,0.2,0.9,2019081812,,,0.3,0.7,201908180714,,
인천,동구,송림,823621,95.43,29,709,710,0.4,0.3,0.5,2019080112,,,0.3,0.5,201908030209,,
인천,남동구,구월동,823631,98.92,31,738,736,0.5,0.3,0.9,2019081321,,,0.4,0.8,201908231902,,
