,,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,,
서울,중구,중구,111121,99.59,31,744,741,0.6,0.3,1.4,2019030408,,,0.4,1.2,201903020108,,
서울,종로구,종로구,111123,99.59,31,744,741,0.7,0.3,1.6,2019030408,,,0.5,1.4,201903032104,,
서울,중랑구,중랑구,111151,89.65,27,661,667,0.5,0.2,1.2,2019030108,,,0.3,1.1,201903010108,,
서울,동대문구,동대문구,111152,71.37,21,522,531,0.6*,0.3,1.9,2019030223,,,0.4,1.3,201903031902,,
서울,은평구,은평구,111181,95.02,28,703,707,0.8,0.4,1.7,2019030410,,,0.7,1.4,201903040512,,
서울,마포구,마포구,111201,95.56,29,706,711,0.6,0.3,1.4,2019030206,,,0.4,1.3,201903020108,,
서울,영등포구,영등포구,111231,92.33,28,685,687,0.6,0.1,2.0,2019030410,,,0.3,1.6,201903040310,,
서울,동작구,동작구,111241,99.05,31,740,737,0.5,0.3,1.4,2019030207,,,0.4,1.2,201903020108,,
서울,관악구,관악구,111251,95.16,29,705,708,0.5,0.2,1.5,2019030201,,,0.3,1.3,201903020108,,
서울,강남구,강남구,111261,95.69,29,706,712,0.5,0.2,1.2,2019030203,,,0.3,1.1,201903022104,,
서울,금천구,금천구,111281,99.46,31,744,740,0.6,0.3,1.5,2019030409,,,0.4,1.3,201903040209,,
서울,강동구,강동구,111274,99.46,31,744,740,0.6,0.3,1.3,2019030222,,,0.4,1.1,201903031902,,
서울,강북구,강북구,111291,99.05,31,738,737,0.6,0.3,1.2,2019030110,,,0.4,1.1,201903050108,,
서울,성북구,성북구,111161,99.46,31,744,740,0.9,0.4,2.0,2019032009,,,0.5,1.6,201903200209,,
서울,용산구,용산구,111131,99.46,31,744,740,0.6,0.3,1.4,2019030207,,,0.4,1.3,201903032205,,
서울,광진구,광진구,111141,97.04,29,720,722,0.8,0.4,1.5,2019030401,,,0.5,1.5,201903040108,,
서울,성동구,성동구,111142,99.46,31,744,740,0.6,0.3,1.3,2019030224,,,0.4,1.2,201903032104,,
서울,도봉구,도봉구,111171,99.59,31,744,741,0.6,0.2,1.4,2019030209,,,0.4,1.2,201903020310,,
