,,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,,
서울,중구,중구,111121,99.44,30,720,716,0.5,0.3,1.0,2019041610,,,0.4,0.8,201904160108,,
서울,종로구,종로구,111123,99.44,30,720,716,0.5,0.3,1.0,2019041604,,,0.4,0.9,201904160108,,
서울,중랑구,중랑구,111151,99.30,30,714,715,0.4,0.1,0.9,2019042224,,,0.3,0.7,201904120209,,
서울,동대문구,동대문구,111152,99.58,30,720,717,0.5,0.2,1.0,2019042923,,,0.4,0.8,201904160108,,
서울,은평구,은평구,111181,99.58,30,720,717,0.5,0.3,1.0,2019040208,,,0.3,0.9,201904060411,,
서울,마포구,마포구,111201,99.58,30,720,717,0.4,0.3,1.0,2019040309,,,0.4,0.8,201904160108,,
서울,영등포구,영등포구,111231,98.61,30,714,710,0.4,0.1,1.0,2019042921,,,0.3,0.8,201904300108,,
서울,동작구,동작구,111241,99.30,30,714,715,0.4,0.2,0.8,2019041608,,,0.3,0.7,201904160108,,
서울,관악구,관악구,111251,99.58,30,720,717,0.4,0.1,0.9,2019042924,,,0.3,0.8,201904302003,,
서울,강남구,강남구,111261,98.88,30,706,712,0.3,0.2,0.7,2019041509,,,0.3,0.6,201904170108,,
서울,금천구,금천구,111281,98.19,29,706,707,0.4,0.3,0.8,2019040208,,,0.4,0.7,201904160108,,
서울,강동구,강동구,111274,99.44,30,720,716,0.4,0.3,0.8,2019042302,,,0.3,0.7,201904230108,,
서울,강북구,강북구,111291,99.44,30,720,716,0.4,0.3,0.8,2019040209,,,0.3,0.7,201904060714,,
서울,성북구,성북구,111161,99.16,30,713,714,0.7,0.3,2.0,2019042309,,,0.5,1.2,201904160108,,
서울,용산구,용산구,111131,99.44,30,720,716,0.4,0.3,0.9,2019042224,,,0.4,0.8,201904230108,,
서울,광진구,광진구,111141,96.80,29,696,697,0.7,0.4,1.1,2019041207,,,0.5,1.0,201904120108,,
서울,성동구,성동구,111142,99.44,30,720,716,0.4,0.2,0.9,2019042303,,,0.3,0.8,201904230108,,
서울,도봉구,도봉구,111171,99.44,30,720,716,0.4,0.1,1.0,2019041208,,,0.4,0.8,201904230310,,
