,,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,,
서울,중구,중구,111121,99.46,31,744,740,0.5,0.2,1.0,2019102124,,,0.4,0.9,201910222003,,
서울,종로구,종로구,111123,99.46,31,744,740,0.5,0.3,1.2,2019101723,,,0.3,0.9,201910211724,,
서울,중랑구,중랑구,111151,23.79,7,172,177,0.5**,0.3,0.7,2019102909,,,0.5,0.7,201910311724,,
서울,동대문구,동대문구,111152,23.25,7,168,173,0.5**,0.3,0.9,2019102723,,,0.4,0.8,201910312104,,
서울,은평구,은평구,111181,99.73,31,744,742,0.5,0.3,1.0,2019103120,,,0.4,0.9,201910311522,,
서울,마포구,마포구,111201,33.87,10,249,252,0.5**,0.3,1.0,2019102122,,,0.5,0.9,201910221902,,
서울,영등포구,영등포구,111231,98.79,30,734,735,0.4,0.1,1.2,2019102124,,,0.2,0.9,201910211724,,
서울,동작구,동작구,111241,93.41,29,691,695,0.4,0.2,0.9,2019102201,,,0.3,0.8,201910222003,,
서울,관악구,관악구,111251,97.04,30,719,722,0.5,0.2,1.2,2019102201,,,0.4,1.1,201910222003,,
서울,강남구,강남구,111261,93.81,29,689,698,0.4,0.1,1.3,2019102120,,,0.2,1.0,201910211724,,
서울,금천구,금천구,111281,95.43,29,706,710,0.4,0.2,0.8,2019100101,,,0.3,0.8,201910010108,,
서울,강동구,강동구,111274,99.59,31,744,741,0.4,0.2,0.9,2019102119,,,0.3,0.7,201910211623,,
서울,강북구,강북구,111291,98.79,31,738,735,0.4,0.2,0.8,2019100424,,,0.4,0.7,201910051801,,
서울,성북구,성북구,111161,99.32,31,744,739,0.5,0.3,1.0,2019100421,,,0.4,0.9,201910052003,,
서울,용산구,용산구,111131,99.46,31,744,740,0.4,0.2,0.9,2019102123,,,0.3,0.8,201910221902,,
서울,광진구,광진구,111141,99.32,31,738,739,0.6,0.3,1.2,2019102121,,,0.4,1.1,201910221902,,
서울,성동구,성동구,111142,99.46,31,744,740,0.4,0.2,0.9,2019102120,,,0.3,0.8,201910011801,,
서울,도봉구,도봉구,111171,99.46,31,744,740,0.5,0.2,0.9,2019102208,,,0.3,0.8,201910220310,,
