     - CO 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
대구,북구,노원동,99 ,31 ,738 ,733 ,1 ,0 ,2 ,2019012310 ,,,0 ,1 ,201901230310 ,,
대구,동구,신암동,99 ,31 ,738 ,734 ,1 ,0 ,2 ,2019011809 ,,,1 ,1 ,201901230512 ,,
대구,수성구,만촌동,99 ,31 ,738 ,738 ,1 ,0 ,2 ,2019011322 ,,,1 ,1 ,201901140613 ,,
대구,수성구,지산동,99 ,31 ,744 ,735 ,1 ,0 ,1 ,2019011310 ,,,1 ,1 ,201901140512 ,,
대구,달서구,호림동,99 ,31 ,744 ,737 ,1 ,0 ,1 ,2019010809 ,,,1 ,1 ,201901150310 ,,
  '' 농도값''의 값은 자료 획득률이 50% 이상이나 75% 미만인 도시의 월평균 값임.                              '' 농도값''''의 값은 자료 획득률이 50% 미만인 도시의 월평균 값임.,,,,,,,,,,,,,,,,,
  '' 전남 중동 측정소는 장비교체,,,,,,,,,  '' 경북 남문동 측정소는 측정소 이전으로 인한 시험가동,,,,,,,,
  '' 경남 가음정동 측정소는 측정소 이전으로 인한 시험가동,,,,,,,,,  '' 강원 양구 측정소는 베이스라인 이상으로 자료 삭제,,,,,,,,
대구,동구,서호동,99 ,31 ,744 ,737 ,1 ,0 ,1 ,2019010708 ,,,0 ,1 ,201901140613 ,,
대구,북구,태전동,99 ,31 ,744 ,736 ,1 ,0 ,2 ,2019012509 ,,,1 ,1 ,201901140310 ,,
대구,달성군,현풍면,99 ,31 ,738 ,737 ,1 ,0 ,1 ,2019012309 ,,,0 ,1 ,201901150209 ,,
대구,수성구,시지동,99 ,31 ,744 ,734 ,1 ,0 ,2 ,2019011409 ,,,1 ,1 ,201901130512 ,,
대구,달서구,진천동,98 ,30 ,728 ,729 ,1 ,0 ,2 ,2019012209 ,,,1 ,1 ,201901150209 ,,
인천,중구,신흥,99 ,31 ,744 ,735 ,1 ,0 ,3 ,2019012308 ,,,1 ,2 ,201901140411 ,,
인천,동구,송림,99 ,31 ,736 ,734 ,1 ,0 ,3 ,2019010406 ,,,1 ,2 ,201901042306 ,,
인천,남동구,구월동,99 ,31 ,738 ,735 ,1 ,0 ,2 ,2019011408 ,,,1 ,2 ,201901140714 ,,
인천,남구,숭의,96 ,30 ,705 ,712 ,1 ,0 ,2 ,2019011410 ,,,0 ,2 ,201901140714 ,,
인천,부평구,부평,99 ,31 ,744 ,737 ,1 ,0 ,2 ,2019011410 ,,,1 ,2 ,201901040411 ,,
인천,서구,연희,98 ,31 ,737 ,732 ,1 ,0 ,2 ,2019010410 ,,,1 ,2 ,201901140916 ,,
인천,서구,석남,99 ,31 ,738 ,739 ,1 ,0 ,2 ,2019011410 ,,,1 ,2 ,201901140512 ,,
인천,계양구,계산,99 ,31 ,738 ,734 ,1 ,0 ,2 ,2019011410 ,,,1 ,2 ,201901140613 ,,
인천,남동구,고잔,27 ,8 ,187 ,198 ,1 ,0 ,2 ,2019013010 ,,,1 ,2 ,201901300310 ,,
인천,강화군,송해,98 ,31 ,732 ,732 ,0 ,0 ,1 ,2019011421 ,,,0 ,1 ,201901141522 ,,
인천,서구,검단,99 ,31 ,736 ,734 ,1 ,0 ,2 ,2019012310 ,,,1 ,1 ,201901140916 ,,
인천,연수구,동춘,99 ,31 ,744 ,736 ,1 ,0 ,3 ,2019010207 ,,,1 ,2 ,201901020310 ,,
인천,중구,운서,99 ,31 ,738 ,733 ,1 ,0 ,2 ,2019011510 ,,,1 ,1 ,201901150411 ,,
인천,남동구,논현,99 ,31 ,732 ,734 ,1 ,0 ,2 ,2019011409 ,,,1 ,2 ,201901140714 ,,
인천,서구,원당,99 ,31 ,738 ,736 ,1 ,0 ,2 ,2019012309 ,,,1 ,2 ,201901190209 ,,
인천,연수구,송도,99 ,31 ,744 ,737 ,1 ,0 ,2 ,2019011405 ,,,1 ,2 ,201901140411 ,,
인천,서구,청라,99 ,31 ,744 ,736 ,1 ,0 ,2 ,2019011411 ,,,1 ,2 ,201901140613 ,,
광주,동구,서석동,99 ,31 ,738 ,736 ,1 ,0 ,2 ,2019011510 ,,,1 ,1 ,201901150411 ,,
광주,서구,농성동,99 ,31 ,744 ,734 ,1 ,0 ,2 ,2019011510 ,,,0 ,2 ,201901150310 ,,
광주,북구,두암동,99 ,31 ,738 ,733 ,1 ,0 ,2 ,2019012310 ,,,1 ,2 ,201901230613 ,,
광주,광산구,송정1동,99 ,31 ,744 ,734 ,1 ,0 ,2 ,2019012309 ,,,0 ,1 ,201901230108 ,,
광주,광산구,오선동,99 ,31 ,738 ,737 ,1 ,0 ,1 ,2019011510 ,,,0 ,1 ,201901150310 ,,
