,,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,,
서울,중구,중구,111121,99.58,30,715,717,0.3,0.1,0.8,2019092724,,,0.2,0.7,201909262104,,
서울,종로구,종로구,111123,99.44,30,720,716,0.5,0.2,0.9,2019090909,,,0.4,0.7,201909090209,,
서울,중랑구,중랑구,111151,65.00,19,472,468,0.4*,0.2,1.3,2019091520,,,0.3,1.1,201909151320,,
서울,동대문구,동대문구,111152,65.13,19,473,469,0.4*,0.1,1.5,2019091016,,,0.3,1.4,201909101421,,
서울,은평구,은평구,111181,90.27,26,649,650,0.5,0.1,0.9,2019093021,,,0.4,0.8,201909090714,,
서울,마포구,마포구,111201,52.08,15,377,375,0.5*,0.2,1.0,2019090912,,,0.4,0.8,201909090310,,
서울,영등포구,영등포구,111231,99.44,30,720,716,0.3,0.1,1.0,2019090621,,,0.2,0.8,201909301724,,
서울,동작구,동작구,111241,94.58,28,683,681,0.4,0.2,1.0,2019092110,,,0.3,0.7,201909090209,,
서울,관악구,관악구,111251,4.44,1,34,32,0.4**,0.3,0.5,2019090101,,,0.5,0.5,201909010108,,
서울,강남구,강남구,111261,32.22,10,221,232,0.3**,0.1,0.8,2019093022,,,0.2,0.6,201909301522,,
서울,금천구,금천구,111281,93.75,27,673,675,0.4,0.1,0.8,2019093022,,,0.3,0.7,201909301724,,
서울,강동구,강동구,111274,99.16,30,714,714,0.4,0.2,0.8,2019093021,,,0.3,0.7,201909090108,,
서울,강북구,강북구,111291,91.94,27,657,662,0.4,0.2,0.7,2019092523,,,0.3,0.6,201909090613,,
서울,성북구,성북구,111161,99.72,30,720,718,0.6,0.3,1.0,2019092523,,,0.4,0.9,201909090209,,
서울,용산구,용산구,111131,99.58,30,720,717,0.4,0.2,0.8,2019090910,,,0.3,0.7,201909090108,,
서울,광진구,광진구,111141,99.72,30,720,718,0.6,0.3,0.9,2019090819,,,0.5,0.9,201909081724,,
서울,성동구,성동구,111142,99.30,30,720,715,0.4,0.2,0.9,2019090123,,,0.3,0.8,201909301724,,
서울,도봉구,도봉구,111171,99.72,30,720,718,0.4,0.2,0.7,2019090818,,,0.4,0.6,201909081219,,
