,,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,,
서울,중구,중구,111121,80.10,25,602,596,0.4,0.2,0.9,2019071809,,,0.3,0.7,201907150512,,
서울,종로구,종로구,111123,98.79,31,736,735,0.4,0.2,0.8,2019071516,,,0.4,0.8,201907180613,,
서울,중랑구,중랑구,111151,99.46,31,744,740,0.3,0.1,0.6,2019070108,,,0.2,0.6,201907191801,,
서울,동대문구,동대문구,111152,94.75,29,711,705,0.4,0.1,0.7,2019071801,,,0.3,0.7,201907300209,,
서울,은평구,은평구,111181,75.13,22,546,559,0.3,0.1,0.7,2019071808,,,0.1,0.6,201907050714,,
서울,마포구,마포구,111201,99.59,31,744,741,0.5,0.2,1.1,2019072521,,,0.2,1.0,201907251522,,
서울,영등포구,영등포구,111231,99.59,31,744,741,0.3,0.1,0.9,2019072620,,,0.2,0.6,201907151219,,
서울,동작구,동작구,111241,99.46,31,744,740,0.3,0.2,0.7,2019071803,,,0.2,0.7,201907180108,,
서울,관악구,관악구,111251,99.73,31,744,742,0.2,0.1,0.6,2019071321,,,0.1,0.5,201907062205,,
서울,강남구,강남구,111261,99.46,31,744,740,0.3,0.1,0.7,2019071809,,,0.2,0.6,201907142205,,
서울,금천구,금천구,111281,99.46,31,744,740,0.4,0.2,0.7,2019071418,,,0.3,0.7,201907180108,,
서울,강동구,강동구,111274,99.32,31,744,739,0.4,0.2,0.7,2019071323,,,0.3,0.7,201907142003,,
서울,강북구,강북구,111291,99.19,31,744,738,0.4,0.1,0.7,2019071321,,,0.3,0.6,201907131522,,
서울,성북구,성북구,111161,99.32,31,744,739,0.6,0.4,1.0,2019071321,,,0.5,1.0,201907180411,,
서울,용산구,용산구,111131,99.46,31,744,740,0.4,0.2,0.8,2019071322,,,0.2,0.7,201907180108,,
서울,광진구,광진구,111141,99.46,31,738,740,0.6,0.4,1.0,2019071324,,,0.5,0.9,201907140108,,
서울,성동구,성동구,111142,99.32,31,738,739,0.4,0.2,0.7,2019071322,,,0.3,0.6,201907010310,,
서울,도봉구,도봉구,111171,99.32,31,744,739,0.4,0.2,0.9,2019070916,,,0.3,0.7,201907141902,,
